INSDC Sequence accession,UniqueID/Isolate,ID,Wild_Cap,location,postal.code,Lat,Long,English,Latin,family,order,NSamplesTested,BirdUSUV,BirdTestedWNV,DateInfo,DeathOrSampleDate
,,sp2016-00753-001_doubleID2,Captive,Hoeven,4741,51.5802562,4.5875432,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,1,1,FALSE,DateDeath,2016
MK796169,AS201600083,sp2016-00753-001_doubleID1,Captive,Waardenburg,4181,51.8313424,5.2575135,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,1,1,FALSE,DateDeath,2016
,,3160810034,Captive,Hedel,5321,51.7448817,5.2597063,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,1,1,FALSE,DateSampling,11-08-2016
MK796168,AS201600070,3160913020,Captive,Born,6121,51.03383,5.80965,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,3,1,FALSE,DateDeath,12-09-2016
,,3160913029,Captive,Velp,5363,51.9958671,5.9751252,Common Barn Owl,Tyto alba,Tytonidae,Strigiformes,2,0,FALSE,DateSampling,14-09-2016
,,3160920001,Captive,Waardenburg,4181,51.8313424,5.2575135,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,3,1,FALSE,DateSampling,20-09-2016
,,PA 17-0248,Captive,Enschede,7504,52.22336325,6.870595664,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,1,1,FALSE,DateDeath,31-07-2017
,,3170811032,Captive,Wenum Wiesel,7345,52.2546727,5.9632909,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,1,1,FALSE,DateDeath,09-08-2017
,,3171009002,Captive,Dordrecht,3311,51.7689546,4.686789054,Ara,Ara (genus),Psittacidae,Psittaciformes,1,0,FALSE,DateSampling,09-10-2017
,,3180104030,Captive,Epe,8162,52.3270371,5.963194502,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,1,1,FALSE,DateDeath,04-01-2018
,,3180627022_doubleID1,Captive,"Leerdam, Aqua Zoo",4141,51.89127596,5.108473911,Jackass Penguin,Spheniscus demersus,Spheniscidae,Sphenisciformes,1,0,TRUE,DateDeath,27-06-2018
,,3180724009,Captive,Amersfoort,3800,52.1562499,5.3896944,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,1,1,FALSE,DateDeath,24-07-2018
,,4028,Captive,"Leerdam, Aqua Zoo",4141,51.89127596,5.108473911,Common Scoter,Melanitta nigra,Anatidae,Anseriformes,1,1,TRUE,DateDeath,07-08-2018
,,4043,Captive,"Leerdam, Aqua Zoo",4141,51.89127596,5.108473911,Steller's Eider,Polysticta stelleri,Anatidae,Anseriformes,3,1,TRUE,DateDeath,15-08-2018
,,4044,Captive,'t Waar,9670,53.2249696,6.9518003,Common Scoter,Melanitta nigra,Anatidae,Anseriformes,3,1,TRUE,DateDeath,18-08-2018
,,4062,Captive,'t Waar,9670,53.2249696,6.9518003,Common Scoter,Melanitta nigra,Anatidae,Anseriformes,6,1,TRUE,DateDeath,23-08-2018
,,3180907033,Captive,Bunschoten-Spakenburg,3851,52.2452013,5.3731599,Steller's Sea Eagle,Haliaeetus pelagicus,Accipitridae,Accipitriformes,2,0,TRUE,DateSampling,07-09-2018
,,NoID_016,Captive,Hardinxveld-giessendam,3370,51.83862405,4.824610423,Common Goldeneye,Bucephala clangula,Anatidae,Anseriformes,2,0,TRUE,DateDeath,13-11-2018
,,3190712002,Captive,Helvoirt,5268,51.6336388,5.2290649,Eastern Rosella,Platycercus eximius,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,10-07-2019
