Row,INSDC Sequence accession,ID,applicant,DeathOrSampleDate,DateInfo,English,Dutch,Latin,family,order,location,province,Lat,Long,BirdUSUV,BirdTestedWNV
1,,AS20190898,DWHC,04-08-2016,DateFound,Common Buzzard,Buizerd,Buteo buteo,Accipitridae,Accipitriformes,Utrecht,Utrecht,52.11,4.99,0,TRUE
2,,AS201600054,DWHC,08-08-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Utrecht,Utrecht,52.14,5.01,0,FALSE
3,,AS201600028,DWHC,27-08-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Epe,Gelderland,52.29,5.91,0,FALSE
4,,AS201600031,DWHC,30-08-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Veghel,Brabant,51.62,5.54,0,FALSE
5,MN122145,AS201600034,DWHC,30-08-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Gennep,Limburg,51.7,5.97,1,FALSE
6,MN122146,AS201600036,DWHC,03-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Andelst,Gelderland,51.9,5.73,1,FALSE
7,,AS201600039,DWHC,04-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Heerenveen,Friesland,52.94,5.94,0,FALSE
8,MN122147,AS201600042,DWHC,05-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Venlo,Limburg,51.36,6.13,1,FALSE
9,MN122148,AS201600045,DWHC,06-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Lierop,Brabant,51.42,5.67,1,FALSE
10,MN122151,AS201600057,DWHC,07-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,"St. agatha, Cuijk",Brabant,51.71,5.91,1,FALSE
11,MN122149,AS201600048,DWHC,07-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Lierop,Brabant,51.42,5.66,1,FALSE
12,MN122150,AS201600051,DWHC,09-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Ottersum,Limburg,51.69,6.01,1,FALSE
13,MN122152,AS201600060,DWHC,11-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Zevenaar,Gelderland,51.93,6.08,1,FALSE
14,MN122153,AS201600062,DWHC,10-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Andelst,Gelderland,51.9,5.73,1,FALSE
15,,AS201600075,DWHC,14-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Wageningen,Gelderland,51.98,5.66,1,FALSE
16,,AS201600085,DWHC,18-09-2016,DateFound,Eurasian Collared Dove,Turkse Tortel,Streptopelia decaocto,Columbidae,Columbiformes,Bilthoven,Utrecht,52.12,5.18,0,FALSE
17,MN122154,AS201600089,DWHC,19-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Vlijmen,Brabant,51.69,5.23,1,FALSE
18,,AS201600092,DWHC,19-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Amsterdam,N-Holland,52.35,4.9,0,FALSE
19,MN122155,AS201600095,DWHC,20-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Klarenbeek,Gelderland,52.19,6.08,1,FALSE
20,MN122156,AS201600098,DWHC,19-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Uden,Brabant,51.66,5.64,1,FALSE
21,MN122157,AS201600101,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Beek en donk,Brabant,51.54,5.63,1,FALSE
22,MN122158,AS201600104,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Heino,Overijssel,52.45,6.26,1,FALSE
23,MN122159,AS201600107,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Wernhout,Brabant,51.44,4.65,1,FALSE
24,MN122160,AS201600110,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Reek,Brabant,51.74,5.67,1,FALSE
25,,AS201600112,DWHC,21-09-2016,DateFound,Common Kingfisher,Ijsvogel,Alcedo atthis,Alcedinidae,Coraciiformes,Holten,Overijssel,52.27,6.47,1,FALSE
26,MN122161,AS201600115,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Houten,Utrecht,52.03,5.18,1,FALSE
27,MN122162,AS201600118,DWHC,22-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,De bilt,Utrecht,52.09,5.19,1,FALSE
