PRIMARYSAMPLEBARCODE,COLLECTIONDATE,MATTYPE,SPECIES,SPECIES EN,SPECIES LATIN,Location,BirdId
17TV1004,11-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Almere, Nederland",10401555
17TV0838,04-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almere, Nederland",10401362
17TV0865,04-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Almere, Nederland",10401363
17TV0866,04-06-2017,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Almere, Nederland",10401334
17TV0185,21-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Lelystad, Nederland",10413362
17TV0867,04-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Almere, Nederland",8962166
17TV0827,04-06-2017,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Almere, Nederland",10401349
17TV0844,04-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almere, Nederland",10075234
16TV0273,25-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",10426566
17TV0819,26-06-2017,Cloacal/throat swab,snor,Savi’s Warbler,Locustella luscinioides,"Kampen, Nederland",10517684
17TV1097,26-06-2017,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Elburg, Nederland",10414348
17TV1113,26-06-2017,Cloacal/throat swab,snor,Savi’s Warbler,Locustella luscinioides,"Elburg, Nederland",10414392
17TV0403,26-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Lelystad, Nederland",10413891
17TV0431,26-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Lelystad, Nederland",9984991
17TV0432,26-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Lelystad, Nederland",9967318
16TV0630,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almere, Nederland",9512858
16TV0982,23-09-2016,Cloacal/throat swab,koolmees,Great Tit,Parus major,"Wageningen, Nederland",10170993
17TV0868,02-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almen, Nederland",9942409
17TV0408,02-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almen, Nederland",10392332
17TV0882,02-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almen, Nederland",8643526
17TV1034,03-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Eastermar, Nederland",8147110
17TV1033,03-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Eastermar, Nederland",10391946
17TV0719,02-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Terwispel, Nederland",10392293
16TV1107,01-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Lelystad, Nederland",10395718
17TV0605,13-05-2017,Cloacal/throat swab,wilde eend,Mallard,Anas platyrhynchos,"Sint Philipsland, Nederland",10382758
17TV0778,15-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Terwispel, Nederland",10371520
17TV0781,15-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Terwispel, Nederland",10128567
16TV0940,17-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Olst, Nederland",9023011
17TV0087,17-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Olst, Nederland",10388309
17TV0059,17-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Markelo, Nederland",10505346
17TV0060,17-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Markelo, Nederland",10505770
17TV0579,06-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Dronten, Nederland",10383670
17TV0327,18-05-2017,Cloacal/throat swab,Boompieper,Tree pipit,Anthus trivialis,"Ospel, Nederland",10384699
17TV0717,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Ankeveen, Nederland",9725359
17TV0788,18-05-2017,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Overdinkel, Nederland",10384789
17TV0721,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Ankeveen, Nederland",10386227
17TV0703,22-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Zwolle, Nederland",10385708
17TV0593,22-05-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Elburg, Nederland",10385883
17TV0716,22-05-2017,Cloacal/throat swab,bosrietzanger,Marsh Warbler,Acrocephalus palustris,"Zwolle, Nederland",10385758
17TV0697,22-05-2017,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Zwolle, Nederland",10385755
17TV0707,22-05-2017,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Zwolle, Nederland",10385759
17TV0640,22-05-2017,Cloacal/throat swab,bosrietzanger,Marsh Warbler,Acrocephalus palustris,"Elburg, Nederland",10385861
17TV0683,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10398795
17TV0684,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9780909
17TV0718,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10381628
17TV0667,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9321638
17TV0696,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9361856
17TV0681,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10043486
17TV0666,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10241928
17TV0505,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",10398256
17TV0019,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",10376348
17TV0512,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",9939259
17TV0030,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",10361591
17TV1036,28-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Eastermar, Nederland",9641174
17TV0156,26-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Asten, Nederland",10387827
17TV0096,27-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Olst, Nederland",10388310
17TV0747,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9869295
17TV0945,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10413713
17TV0436,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Schiermonnikoog, Nederland",9245226
17TV0926,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10413711
17TV0674,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10043486
17TV0669,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10043585
17TV0665,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9361856
17TV0346,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Schiermonnikoog, Nederland",10484927
17TV0122,28-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almere, Nederland",10097521
16TV0695,11-08-2017,Cloacal/throat swab,zanglijster,Song trush,Turdus philomeus,"Wassenaar, Nederland",10491292
17TV0226,06-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Castricum, Nederland",10510343
17TV1263,09-08-2017,Cloacal/throat swab,boerenzwaluw,Barn swallow,Hirundo rustica,"Zwolle, Nederland",9657615
17TV1297,09-08-2017,Cloacal/throat swab,boerenzwaluw,Barn swallow,Hirundo rustica,"Zwolle, Nederland",9988043
17TV1295,09-08-2017,Cloacal/throat swab,boerenzwaluw,Barn swallow,Hirundo rustica,"Zwolle, Nederland",10433675
17TV1450,10-08-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Eastermar, Nederland",10466048
17TV1099,10-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Eastermar, Nederland",8900549
17TV0961,06-08-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Almere, Nederland",9958551
17TV1405,10-08-2017,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Eastermar, Nederland",10466043
17TV1003,06-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Almere, Nederland",10455592
16TV0863,11-08-2017,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Wassenaar, Nederland",10491363
17TV1271,10-08-2017,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Eastermar, Nederland",10449031
17TV1192,11-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Utrecht, Nederland",10518454
16TV0695,11-08-2017,Cloacal/throat swab,zanglijster,Song trush,Turdus philomeus,"Wassenaar, Nederland",10491292
17TV1272,10-08-2017,Cloacal/throat swab,boerenzwaluw,Barn swallow,Hirundo rustica,"Elburg, Nederland",10454032
16TV0866,11-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Wassenaar, Nederland",10491331
17TV1187,11-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",10518383
17TV1011,14-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Terwispel, Nederland",10128495
17TV1140,11-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Bakel, Nederland",10467931
17TV1370,10-08-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Overdinkel, Nederland",10465119
17TV1203,14-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almen, Nederland",10474768
