,ID,capture.date,English,Dutch,Latin,family,order,Lat,Long,PMA.USUV.Ab6000,PMA.WNV.Ab6000,VNT.USUV,VNT.WNV,FRNT.USUV,FRNT.WNV,SeroResult,BirdId
1,16TV0873,02-04-2016,Eurasian Jay,Gaai,Garrulus glandarius,Corvidae,Passeriformes,51.9838097,5.654761791,1,1,4,0,10,80,WNV,9940674
2,16TV0732,05-05-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.31211584,5.027795434,0,0,NA,NA,NA,NA,NA,9948872
3,16TV0020,08-05-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.13446719,5.006238766,0,0,NA,NA,10,10,Negative,9953611
4,16TV0182,14-05-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.13446719,5.006238766,0,0,NA,NA,NA,NA,NA,9953609
5,16TV0304,21-05-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.0954392,5.01239224,0,0,NA,NA,NA,NA,NA,9953653
6,16TV0718,28-05-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.31211584,5.027795434,0,0,NA,NA,NA,NA,NA,9966358
7,16TV0757,11-06-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.31211584,5.027795434,0,0,NA,NA,NA,NA,NA,9966360
8,16TV0066,11-06-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.0954392,5.01239224,0,0,NA,NA,20,10,Negative,10172246
9,16TV0722,21-06-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.31212404,5.027760565,0,0,NA,NA,NA,NA,NA,10146839
10,16TV0918,20-06-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.31212404,5.027760565,0,0,NA,NA,NA,NA,NA,10146832
11,16TV0790,24-06-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.31212404,5.027760565,0,0,NA,NA,NA,NA,NA,10146841
12,16TV0995,23-06-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.31212404,5.027760565,0,0,NA,NA,NA,NA,NA,10146840
13,20TV2418,13-10-2020,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.2547226,4.950720787,0,0,NA,NA,NA,NA,NA,12544573
14,16TV0748,17-09-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.9838097,5.654761791,0,0,NA,NA,NA,NA,NA,9960404
15,16TV0485,17-09-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,NA,NA,NA,10076945
16,16TV1057,18-09-2016,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,51.6649444,6.0406042,0,0,NA,NA,NA,NA,NA,10119261
17,16TV0096,17-09-2016,Song Thrush,Zanglijster,Passer domesticus,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,NA,NA,NA,10076947
18,16TV1050,18-09-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.6649444,6.0406042,0,1,0,4,80,10,Negative,10119260
19,16TV0435,20-09-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,40,40,Negative,10087579
20,17TV1232,21-10-2017,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.2547226,4.950720787,0,0,NA,NA,NA,NA,NA,10778819
21,16TV1006,22-09-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10083486
22,16TV0041,22-09-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,1,NA,NA,NA,NA,NA,10083483
23,16TV1176,24-09-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,1,4,4,NA,NA,Negative,10086954
24,16TV1189,26-09-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10088275
25,16TV1180,26-09-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10088281
26,16TV0073,24-09-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,10,10,Negative,10087573
27,16TV0095,24-09-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13441002,5.006418228,0,0,NA,NA,NA,NA,NA,10087585
28,16TV0334,24-09-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13441002,5.006418228,0,0,NA,NA,NA,NA,NA,10087591
29,16TV1058,26-09-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.23259352,6.593297303,0,0,NA,NA,NA,NA,NA,10302583
30,16TV1047,30-09-2016,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.08793182,5.013043284,0,0,NA,NA,NA,NA,NA,10174631
31,16TV1051,30-09-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.12815475,5.011127949,0,0,4,4,NA,NA,Negative,10097667
32,16TV1184,05-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10104608
33,16TV0138,04-10-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10104605
34,16TV1183,05-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2369988,7.022559643,0,1,0,0,NA,NA,Negative,9977385
35,16TV0137,05-10-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10104607
36,16TV0337,04-10-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,NA,NA,NA,10104766
37,16TV0305,04-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,NA,NA,NA,10104767
38,16TV1171,04-10-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,10,10,Negative,10104606
39,16TV0795,04-10-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10104604
40,16TV0142,06-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10107937
41,16TV1039,07-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.83416748,5.886833191,1,0,0,0,NA,NA,Negative,10115963
42,16TV0247,08-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.30846632,5.196950287,0,0,NA,NA,NA,NA,NA,10112573
43,16TV0758,08-10-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.30846632,5.196950287,1,1,NA,NA,NA,NA,NA,10112559
44,16TV0251,09-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.30846632,5.196950287,0,0,NA,NA,NA,NA,NA,10112534
45,16TV1142,09-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10110293
46,16TV1149,09-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10110291
47,16TV1143,09-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10110295
48,16TV1130,08-10-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,NA,NA,NA,10108082
49,16TV1146,08-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10107943
50,16TV1141,07-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2369988,7.022559643,0,0,4,0,NA,NA,Negative,9957191
51,16TV1048,12-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.8219986,5.905166626,0,1,NA,NA,20,10,Negative,10341847
52,16TV1145,10-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2369988,7.022559643,0,0,NA,NA,NA,NA,NA,9955229
53,16TV0249,08-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.30846632,5.196950287,1,0,128,4,NA,NA,USUV,10112537
54,16TV1135,11-10-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,NA,NA,NA,10124869
55,16TV1136,11-10-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,NA,NA,NA,10124870
56,16TV1132,11-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13441002,5.006418228,0,0,0,0,NA,NA,Negative,10124867
57,16TV1139,16-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10125651
58,16TV0140,15-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10125313
59,16TV1182,17-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10127853
60,16TV1119,16-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,NA,NA,NA,10126875
61,16TV1131,16-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.1333313,5.005620003,1,1,512,4,1280,10,USUV,10126874
62,16TV1122,18-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13593782,5.003778934,0,0,NA,NA,NA,NA,NA,10130223
63,16TV1137,16-10-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,NA,NA,NA,10126876
64,16TV1071,13-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.66481083,6.040063047,0,0,NA,NA,NA,NA,NA,10821488
65,16TV1068,09-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.6649444,6.0406042,0,0,NA,NA,NA,NA,NA,10119254
66,16TV1070,13-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.66481083,6.040063047,1,1,16,4,NA,NA,USUV,10821490
67,16TV1067,09-10-2016,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,51.6649444,6.0406042,0,0,NA,NA,NA,NA,NA,10119253
68,16TV1221,22-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2369988,7.022559643,0,0,NA,NA,NA,NA,NA,9996374
69,16TV1203,22-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.1333313,5.005620003,0,0,NA,NA,NA,NA,NA,10172634
70,16TV1211,24-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,10136202
71,16TV1215,23-10-2016,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,4,4,NA,NA,Negative,10136191
