"Surveillance_system","Collection_year","Collection_week","Pool_No","ID","Species","Pool_size","Life_stage_E_L_P_A","Sex_F_M","Location","Code","USUV","WNV"
"BRS",2020,27,"1","","Culex pipiens/torrentium",10,"A","F","Bergumermeer","BGM20W27P1",0,0
"BRS",2020,27,"2","","Culex pipiens/torrentium",9,"A","F","Bergumermeer","BGM20W27P2",0,0
"BRS",2020,28,"3","","Culex pipiens/torrentium",2,"A","F","Bergumermeer","BGM20W28P1",0,0
"BRS",2020,32,"4","","Culex pipiens/torrentium",2,"A","F","Bergumermeer","BGM20W32P1",0,0
"BRS",2020,27,"5","","Culex pipiens/torrentium",6,"A","F","Nijmegen_Berg en Dal","NBD20W27P1",0,0
"BRS",2020,28,"6","","Culex pipiens/torrentium",8,"A","F","Nijmegen_Berg en Dal","NBD20W28P1",0,0
"BRS",2020,34,"7","","Culex pipiens/torrentium",10,"A","F","Nijmegen_Berg en Dal","NBD20W34P1",0,0
"BRS",2020,36,"8","","Culex pipiens/torrentium",2,"A","F","Nijmegen_Berg en Dal","NBD20W36P1",0,0
"BRS",2020,28,"9","","Culex pipiens/torrentium",10,"A","F","Rotterdam_Museumpark","RMP20W28P1",0,0
"BRS",2020,29,"10","","Culex pipiens/torrentium",10,"A","F","Rotterdam_Museumpark","RMP20W29P1",0,0
"BRS",2020,29,"11","","Culex pipiens/torrentium",6,"A","F","Rotterdam_Museumpark","RMP20W29P2",0,0
"BRS",2020,33,"12","","Culex pipiens/torrentium",10,"A","F","Rotterdam_Museumpark","RMP20W33P1",0,0
"BRS",2020,33,"13","","Culex pipiens/torrentium",10,"A","F","Rotterdam_Museumpark","RMP20W33P2",0,0
"BRS",2020,28,"14","","Culex pipiens/torrentium",10,"A","F","Leiden","AWD20W28P1",0,0
"BRS",2020,28,"15","","Culex pipiens/torrentium",6,"A","F","Leiden","AWD20W28P2",0,0
"BRS",2020,29,"16","","Culex pipiens/torrentium",10,"A","F","Leiden","AWD20W29P1",0,0
"BRS",2020,29,"17","","Culex pipiens/torrentium",3,"A","F","Leiden","AWD20W29P2",0,0
"BRS",2020,35,"18","","Culex pipiens/torrentium",10,"A","F","Leiden","AWD20W35P1",0,0
"BRS",2020,35,"19","","Culex pipiens/torrentium",8,"A","F","Leiden","AWD20W35P2",0,0
"BRS",2020,36,"20","","Culex pipiens/torrentium",1,"A","F","Leiden","AWD20W36P1",0,0
"BRS",2020,28,"21","","Culex pipiens/torrentium",10,"A","F","Wageningen_Campus","WAC20W28P1",0,0
"BRS",2020,28,"22","","Culex pipiens/torrentium",10,"A","F","Wageningen_Campus","WAC20W28P2",0,0
"BRS",2020,28,"23","","Culex pipiens/torrentium",10,"A","F","Wageningen_Campus","WAC20W28P3",0,0
"BRS",2020,28,"24","","Culex pipiens/torrentium",10,"A","F","Wageningen_Campus","WAC20W28P4",0,0
